matched pairs of er	kea:1042
chronic liver diseases	econ:771 auto:717 rake:35 kea:766 StructMineDataPipeline:708 spacy_np:584
large intestine	econ:821 auto:905 rake:266 kea:684 StructMineDataPipeline:626 spacy_np:1085
dexmedetomidine	econ:352 auto:263 kea:338 StructMineDataPipeline:326 spacy_np:280 textrank:453
scientific community	econ:902 auto:1049 rake:289 kea:830 StructMineDataPipeline:526 textrank:67
interferon-gamma ifn-gamma	econ:802 kea:1066 StructMineDataPipeline:899 spacy_np:940
adaptive immune system	econ:968 auto:1082 rake:71 kea:1116 StructMineDataPipeline:733 spacy_np:1087
cervical spondylotic myelopathy	econ:942 auto:61 rake:56 kea:931 StructMineDataPipeline:952 spacy_np:801
idiopathic pulmonary fibrosis ipf	econ:605 auto:62 rake:19 StructMineDataPipeline:587 spacy_np:496
other hospitals	econ:917 auto:1100 kea:882 StructMineDataPipeline:488 spacy_np:515
aberdeen	econ:750 auto:311 kea:885 StructMineDataPipeline:865 spacy_np:723
47 patients	auto:1111 rake:127 spacy_np:298
timely manner	econ:1107 rake:339 kea:883 StructMineDataPipeline:724
gleason	econ:616 auto:596 kea:299 StructMineDataPipeline:892 spacy_np:698 textrank:685
glands	econ:123 auto:909 kea:431 StructMineDataPipeline:509 spacy_np:516 textrank:423
falls	econ:620 auto:485 kea:425 StructMineDataPipeline:156 spacy_np:153 textrank:4
between january	auto:1047 kea:1120 StructMineDataPipeline:898
mace	econ:406 auto:733 kea:726 StructMineDataPipeline:516 spacy_np:439 textrank:654
achievement	econ:1122 auto:568 kea:418 StructMineDataPipeline:240 spacy_np:285 textrank:729
tpa	econ:126 auto:344 kea:323 StructMineDataPipeline:512 spacy_np:513 textrank:438
monotherapy	econ:927 auto:694 kea:537 StructMineDataPipeline:155 spacy_np:113 textrank:59
clinician	econ:637 auto:318 kea:904 StructMineDataPipeline:199 spacy_np:868 textrank:197
cell disease	econ:136 auto:1094 rake:181 kea:210 StructMineDataPipeline:1033 textrank:529
knowledge	econ:944 auto:806 kea:132 StructMineDataPipeline:27 spacy_np:27 textrank:95
hrt	econ:141 auto:441 kea:98 StructMineDataPipeline:311 spacy_np:267 textrank:342
hrv	econ:657 auto:534 kea:544 StructMineDataPipeline:551 spacy_np:533 textrank:244
nfat	econ:483 auto:882 kea:718 StructMineDataPipeline:1008 spacy_np:864 textrank:154
fda	econ:267 auto:438 kea:77 StructMineDataPipeline:447 spacy_np:856 textrank:83
asians	econ:633 auto:162 kea:558 StructMineDataPipeline:275 spacy_np:257 textrank:247
respiratory secretions	econ:828 auto:154 rake:319 kea:1091 StructMineDataPipeline:683 spacy_np:595
lobe	econ:144 auto:723 kea:449 StructMineDataPipeline:652 spacy_np:953 textrank:408
ophthalmology	econ:838 auto:683 kea:584 StructMineDataPipeline:720 spacy_np:625 textrank:655
allergen	econ:146 auto:823 kea:471 StructMineDataPipeline:468 spacy_np:620 textrank:129
years	econ:1124 auto:999 kea:53 StructMineDataPipeline:0 spacy_np:99 textrank:17
okt3	econ:153 auto:274 kea:454 StructMineDataPipeline:711 spacy_np:599
hypoxemia	econ:150 auto:281 kea:433 StructMineDataPipeline:263 spacy_np:282 textrank:555
cochlea	econ:979 auto:1005 kea:32 StructMineDataPipeline:770 spacy_np:1112 textrank:732
the patterns	spacy_np:312
the achievement	spacy_np:407
cdc	econ:7 auto:432 kea:574 StructMineDataPipeline:665 spacy_np:487 textrank:594
fertility	econ:430 auto:402 kea:130 StructMineDataPipeline:181 spacy_np:151 textrank:317
angioedema	econ:157 auto:183 kea:274 StructMineDataPipeline:359 spacy_np:335 textrank:425
cell receptor	econ:158 auto:1077 rake:132 kea:738 StructMineDataPipeline:1140 textrank:570
electrode	econ:648 auto:657 kea:566 StructMineDataPipeline:1003 spacy_np:1016 textrank:182
comorbidity	econ:130 auto:395 kea:302 StructMineDataPipeline:183 spacy_np:164 textrank:338
fluid analysis	econ:368 auto:1095 rake:346 kea:1004 spacy_np:1089
identification	econ:589 auto:461 kea:445 StructMineDataPipeline:25 spacy_np:23 textrank:617
lymphoma nhl	econ:336 rake:303 kea:1012 spacy_np:1090
univariate and multivariate analyses	econ:864 auto:158 spacy_np:451
eosin	econ:566 auto:976 kea:799 StructMineDataPipeline:887 spacy_np:663
pheochromocytoma	econ:164 auto:362 kea:253 StructMineDataPipeline:190 spacy_np:204 textrank:135
residency	econ:171 auto:580 kea:487 StructMineDataPipeline:456 spacy_np:464 textrank:169
ondansetron	econ:313 auto:533 kea:240 StructMineDataPipeline:432 spacy_np:365 textrank:591
placebo	econ:172 auto:919 kea:25 StructMineDataPipeline:9 spacy_np:3 textrank:210
icus	econ:173 auto:288 kea:621 StructMineDataPipeline:632 spacy_np:478 textrank:778
cd4 cell count	econ:612 auto:50 rake:25 kea:218 StructMineDataPipeline:419 spacy_np:544
environments	econ:1092 auto:1004 kea:441 StructMineDataPipeline:631 spacy_np:681 textrank:588
motor vehicle accidents	econ:996 auto:34 rake:49 kea:788 StructMineDataPipeline:712 spacy_np:601
rhabdomyolysis	econ:407 auto:194 kea:355 StructMineDataPipeline:227 spacy_np:187 textrank:431
duchenne s muscular dystrophy	econ:1074 auto:110 StructMineDataPipeline:1116 spacy_np:497
rosiglitazone	econ:556 auto:519 kea:563 StructMineDataPipeline:360 spacy_np:326 textrank:632
dyspnea	econ:176 auto:413 kea:312 StructMineDataPipeline:167 spacy_np:140 textrank:390
decline	econ:177 auto:830 kea:180 StructMineDataPipeline:49 spacy_np:192 textrank:452
seven days	auto:1056 rake:139 kea:1147 StructMineDataPipeline:1071 spacy_np:229 textrank:52
current controlled trials	econ:574 auto:187 rake:107 kea:549 StructMineDataPipeline:1076 spacy_np:905
photon	econ:185 auto:718 kea:784 StructMineDataPipeline:1100 spacy_np:1021 textrank:705
determination	econ:757 auto:837 kea:517 StructMineDataPipeline:144 spacy_np:144 textrank:696
fus	econ:964 auto:934 kea:466 StructMineDataPipeline:911 spacy_np:752 textrank:365
transformation	econ:530 auto:754 kea:579 StructMineDataPipeline:302 spacy_np:311 textrank:369
10 days	auto:1062 rake:110 spacy_np:149
sc disease	econ:531 auto:1044 rake:113 kea:997 StructMineDataPipeline:1029 spacy_np:935
sodium fluoride	econ:980 auto:113 rake:64 kea:1021 StructMineDataPipeline:838 spacy_np:826
a20	econ:760 auto:738 kea:809 StructMineDataPipeline:848 spacy_np:741
strait islander people	econ:31 kea:932 StructMineDataPipeline:1135 spacy_np:996
dorsal horn	econ:326 auto:33 rake:157 kea:874 StructMineDataPipeline:1014 spacy_np:1094
pathology	econ:460 auto:566 kea:397 StructMineDataPipeline:119 spacy_np:123 textrank:200
recurrent genital herpes	econ:1028 auto:180 rake:53 kea:719 StructMineDataPipeline:635 spacy_np:543
contraceptive pill	econ:461 auto:103 rake:337 kea:845 StructMineDataPipeline:939 textrank:682
migraine	econ:348 auto:348 kea:87 StructMineDataPipeline:98 spacy_np:63 textrank:91
carbohydrates	econ:726 auto:1003 kea:860 StructMineDataPipeline:450 spacy_np:420 textrank:187
ivf	econ:26 auto:424 kea:170 StructMineDataPipeline:368 spacy_np:306 textrank:473
mole	econ:542 auto:689 kea:297 StructMineDataPipeline:963 spacy_np:878 textrank:412
paf	econ:700 auto:551 kea:343 StructMineDataPipeline:582 spacy_np:471 textrank:273
torres strait islander	econ:200 auto:68 rake:66 kea:88 StructMineDataPipeline:1092
fibrosis	econ:307 auto:811 kea:19 StructMineDataPipeline:138 spacy_np:93 textrank:96
beta cell function	econ:798 auto:128 rake:42 kea:643 StructMineDataPipeline:738 spacy_np:655
sauna	econ:426 auto:617 kea:413 StructMineDataPipeline:1054 spacy_np:1077 textrank:297
antibody formation	econ:931 auto:719 rake:294 kea:1127 StructMineDataPipeline:835 spacy_np:768
user	econ:1080 auto:847 kea:1138 StructMineDataPipeline:985 spacy_np:1067 textrank:448
single course	econ:848 rake:295 kea:440 StructMineDataPipeline:671 spacy_np:1049
ventilation perfusion	econ:894 auto:97 kea:664 StructMineDataPipeline:1049 spacy_np:1096 textrank:755
hypopituitarism	econ:752 auto:278 kea:634 StructMineDataPipeline:339 spacy_np:301 textrank:631
methylmalonic acid	econ:939 auto:81 rake:242 kea:833 StructMineDataPipeline:1015 spacy_np:896
thought	econ:1127 auto:1008 kea:1130 StructMineDataPipeline:722 spacy_np:761 textrank:573
exacerbations	econ:209 auto:433 kea:393 StructMineDataPipeline:169 spacy_np:134 textrank:224
us army	econ:862 auto:971 rake:165 kea:698 StructMineDataPipeline:944 spacy_np:1059
streptokinase	econ:300 auto:323 kea:254 StructMineDataPipeline:193 spacy_np:180 textrank:328
ten days	auto:1073 rake:164 kea:998 StructMineDataPipeline:690 spacy_np:640
gene encoding	econ:762 auto:463 rake:123 textrank:789
asthma	econ:216 auto:403 kea:14 StructMineDataPipeline:19 spacy_np:5 textrank:130
swedish research council	econ:811 auto:30 rake:62 kea:463 StructMineDataPipeline:427 spacy_np:523
cmt1a	econ:1126 auto:832 kea:565 StructMineDataPipeline:874 spacy_np:799
the developed world	auto:1078 spacy_np:376
taxane	econ:394 auto:764 kea:781 StructMineDataPipeline:949 spacy_np:1004 textrank:684
six weeks	auto:1048 rake:144 kea:1140 StructMineDataPipeline:1051 spacy_np:171
precancerous lesions	econ:607 auto:130 rake:158 kea:957 StructMineDataPipeline:757 spacy_np:677
gvhd	econ:222 auto:349 kea:276 StructMineDataPipeline:317 spacy_np:271 textrank:351
survival	econ:223 auto:599 kea:68 StructMineDataPipeline:7 spacy_np:2 textrank:81
utah	econ:703 auto:351 kea:1114 StructMineDataPipeline:925 spacy_np:814 textrank:664
left ventricle	econ:579 auto:57 rake:212 kea:727 StructMineDataPipeline:308 spacy_np:952
birth	econ:803 auto:704 kea:119 StructMineDataPipeline:34 spacy_np:16 textrank:65
captopril	econ:593 auto:300 kea:147 StructMineDataPipeline:134 spacy_np:82 textrank:382
prolactin secretion	econ:737 auto:102 rake:267 kea:910 StructMineDataPipeline:547 spacy_np:504
analysis of patients	kea:903
adiponectin	econ:229 auto:178 kea:407 StructMineDataPipeline:278 spacy_np:245 textrank:368
consensus	econ:598 auto:452 kea:209 StructMineDataPipeline:160 spacy_np:221 textrank:253
left ventricular hypertrophy lvh	econ:882 auto:79 rake:36 StructMineDataPipeline:803 spacy_np:656
adaptation	econ:1156 auto:793 kea:551 StructMineDataPipeline:336 spacy_np:351 textrank:516
indications	econ:233 auto:628 kea:148 StructMineDataPipeline:100 spacy_np:118 textrank:446
severe form	econ:528 auto:1083 rake:232 kea:950 StructMineDataPipeline:495 textrank:793
parasite	econ:238 auto:626 kea:560 StructMineDataPipeline:319 spacy_np:899 textrank:149
genetics	econ:463 auto:206 kea:356 StructMineDataPipeline:146 spacy_np:141 textrank:118
icd	econ:318 auto:302 kea:427 StructMineDataPipeline:676 spacy_np:759 textrank:543
ultrasonography	econ:733 auto:284 kea:186 StructMineDataPipeline:152 spacy_np:105 textrank:605
vzv	econ:1112 auto:496 kea:470 StructMineDataPipeline:904 spacy_np:734 textrank:275
aids clinical trials group	econ:819 auto:116 rake:12 StructMineDataPipeline:844 spacy_np:945
cochrane library	econ:247 auto:15 rake:259 kea:878 StructMineDataPipeline:237 spacy_np:343
leadership	econ:831 auto:644 kea:382 StructMineDataPipeline:313 spacy_np:288 textrank:421
ugandan	econ:362 auto:662 kea:928 spacy_np:1099 textrank:711
peep	econ:250 auto:545 kea:469 StructMineDataPipeline:565 spacy_np:517 textrank:358
present report	econ:1100 rake:309 kea:924 StructMineDataPipeline:618
fenofibrate	econ:915 auto:528 kea:294 StructMineDataPipeline:402 spacy_np:400 textrank:164
short arm	econ:851 auto:1054 rake:305 kea:898 StructMineDataPipeline:504 spacy_np:1104
crpc	econ:323 auto:822 kea:660 StructMineDataPipeline:885 spacy_np:754 textrank:640
united states	econ:506 auto:13 rake:82 kea:129 StructMineDataPipeline:10 spacy_np:615
diabetics	econ:388 auto:839 kea:59 StructMineDataPipeline:124 spacy_np:127 textrank:69
ppv	econ:257 auto:505 kea:925 StructMineDataPipeline:507 spacy_np:614 textrank:456
subluxation	econ:827 auto:1017 kea:815 StructMineDataPipeline:970 spacy_np:918 textrank:782
peripheral circulation	econ:1068 auto:1045 rake:145 kea:805 StructMineDataPipeline:696 spacy_np:1008
bangladesh	econ:454 auto:169 kea:377 StructMineDataPipeline:225 spacy_np:201 textrank:723
roc analysis	econ:459 auto:124 rake:143 kea:1084 StructMineDataPipeline:702 spacy_np:624
type 2 diabetes mellitus	econ:427 auto:145 rake:5 spacy_np:120
differences	econ:263 auto:741 kea:112 StructMineDataPipeline:13 spacy_np:12 textrank:82
adjacent segment	econ:807 auto:129 rake:126 kea:562 StructMineDataPipeline:1093 spacy_np:1011
cic	econ:402 auto:729 kea:145 StructMineDataPipeline:531 spacy_np:430 textrank:372
scoliosis	econ:269 auto:171 kea:179 StructMineDataPipeline:356 spacy_np:333 textrank:436
maintenance dose	econ:654 auto:850 rake:247 kea:1083 StructMineDataPipeline:806 spacy_np:1107
neurology	econ:450 auto:239 kea:765 StructMineDataPipeline:390 spacy_np:355 textrank:407
cancers	econ:270 auto:819 kea:89 StructMineDataPipeline:57 spacy_np:66 textrank:31
adenosine	econ:509 auto:253 kea:495 StructMineDataPipeline:400 spacy_np:281 textrank:380
beliefs	econ:606 auto:423 kea:295 StructMineDataPipeline:268 spacy_np:248 textrank:254
published in bmc medicine	auto:223
suspected myocardial infarction	auto:1061 rake:68 kea:798 StructMineDataPipeline:575 spacy_np:470
neuritis	econ:493 auto:889 kea:545 StructMineDataPipeline:1053 spacy_np:545 textrank:676
thrombosis	econ:289 auto:590 kea:47 StructMineDataPipeline:90 spacy_np:48 textrank:60
enzyme-linked immunosorbent	econ:586 kea:703 StructMineDataPipeline:958
autism	econ:197 auto:186 kea:242 StructMineDataPipeline:239 spacy_np:157 textrank:716
premenopausal patients	econ:904 auto:1052 rake:178 kea:779 StructMineDataPipeline:616 spacy_np:578
ulcerations	econ:850 auto:994 kea:721 StructMineDataPipeline:845 spacy_np:787 textrank:202
tachypnea	econ:901 auto:984 kea:1137 StructMineDataPipeline:740 spacy_np:635 textrank:785
clinical feature	econ:878 auto:1002 rake:332 kea:954 StructMineDataPipeline:981 spacy_np:1108
kvp	econ:676 auto:993 kea:358 StructMineDataPipeline:940 textrank:675
tnm stage	econ:510 auto:38 rake:136 kea:780 StructMineDataPipeline:576 spacy_np:588
rankl	econ:559 auto:598 kea:214 StructMineDataPipeline:530 spacy_np:482 textrank:450
influenza	econ:168 auto:353 kea:11 StructMineDataPipeline:108 spacy_np:71 textrank:2
5-hydroxyindoleacetic acid	econ:1025 kea:1108 StructMineDataPipeline:933 spacy_np:821
roc	econ:1 auto:372 kea:527 StructMineDataPipeline:764 spacy_np:721 textrank:615
renin secretion	econ:836 auto:141 rake:137 kea:814 StructMineDataPipeline:774 spacy_np:628
asian	econ:371 auto:242 kea:1063 StructMineDataPipeline:678 spacy_np:831 textrank:246
adjustment	econ:319 auto:569 kea:640 StructMineDataPipeline:64 spacy_np:35 textrank:311
issues	econ:583 auto:698 kea:173 StructMineDataPipeline:80 spacy_np:122 textrank:73
aquaporin	econ:1071 auto:781 kea:731 StructMineDataPipeline:1067 spacy_np:823 textrank:237
zika virus zikv	econ:490 auto:80 rake:84 kea:847 StructMineDataPipeline:946 spacy_np:963
muscle cell proliferation	econ:440 kea:939 StructMineDataPipeline:1128 spacy_np:1070
mcs	econ:1079 auto:671 kea:328 StructMineDataPipeline:645 spacy_np:626 textrank:690
lenalidomide	econ:128 auto:398 kea:602 StructMineDataPipeline:571 spacy_np:398 textrank:636
tail	econ:778 auto:894 kea:1132 StructMineDataPipeline:890 spacy_np:853 textrank:742
west africa	econ:349 auto:3 rake:148 kea:523 StructMineDataPipeline:252 spacy_np:210
heterogeneity	econ:754 auto:460 kea:244 StructMineDataPipeline:113 spacy_np:131 textrank:661
tamoxifen	econ:151 auto:334 kea:161 StructMineDataPipeline:173 spacy_np:136 textrank:199
g-csf	econ:244 kea:453 StructMineDataPipeline:425 spacy_np:338
tampons	econ:885 auto:1020 kea:384 StructMineDataPipeline:856 spacy_np:689 textrank:332
anemia	econ:227 auto:365 kea:15 StructMineDataPipeline:60 spacy_np:34 textrank:119
ophthalmologist	econ:1061 auto:731 kea:1041 StructMineDataPipeline:773 textrank:525
pbd	econ:1034 auto:812 kea:547 StructMineDataPipeline:794 spacy_np:685 textrank:426
lung cancer patients	econ:965 auto:1065 rake:57 kea:577 StructMineDataPipeline:439 spacy_np:456
pain severity	econ:1056 auto:1028 rake:276 kea:1126 StructMineDataPipeline:814 spacy_np:730
the research	spacy_np:290
management of depression	auto:1097 kea:761
consumers	econ:954 auto:555 kea:211 StructMineDataPipeline:255 spacy_np:223 textrank:172
ast	econ:93 auto:500 kea:678 StructMineDataPipeline:608 spacy_np:390 textrank:627
clavulanic	econ:84 kea:1155 spacy_np:1039 textrank:432
overload	econ:599 auto:962 kea:866 StructMineDataPipeline:605 spacy_np:791 textrank:624
aldosteronism	econ:933 auto:900 kea:534 StructMineDataPipeline:851 spacy_np:746 textrank:305
bdp	econ:314 auto:749 kea:373 StructMineDataPipeline:680 spacy_np:534 textrank:445
hsct	econ:1070 auto:368 kea:251 StructMineDataPipeline:527 spacy_np:447 textrank:424
relative lack	econ:1072 rake:343 kea:1104 StructMineDataPipeline:718 spacy_np:1110 textrank:308
charlson comorbidity index	econ:656 auto:69 rake:78 kea:1038 StructMineDataPipeline:798 spacy_np:796
niche	econ:16 auto:972 kea:345 StructMineDataPipeline:750 spacy_np:1056 textrank:611
editorial	econ:231 auto:212 kea:528 StructMineDataPipeline:374 spacy_np:592 textrank:175
seven children	auto:1105 rake:286 kea:1131 StructMineDataPipeline:1034 spacy_np:654
sinuses	econ:478 auto:963 kea:827 StructMineDataPipeline:788 spacy_np:847 textrank:250
hla-identical siblings	econ:946 kea:839 StructMineDataPipeline:755 spacy_np:653
important aspect	econ:1134 auto:1072 rake:215 kea:930 StructMineDataPipeline:663
implications for clinical practice	auto:1069 kea:786
obstetricians	econ:789 auto:589 kea:306 StructMineDataPipeline:329 spacy_np:303 textrank:404
models of care	auto:1071 kea:989
the experiment	spacy_np:612
craniopharyngioma	econ:812 auto:1030 kea:1082 StructMineDataPipeline:881 spacy_np:872 textrank:731
compliance	econ:675 auto:360 kea:61 StructMineDataPipeline:94 spacy_np:68 textrank:203
akt	econ:20 auto:209 kea:277 StructMineDataPipeline:385 spacy_np:391 textrank:157
medicines agency	econ:342 auto:147 kea:1015
cta	econ:132 auto:481 kea:282 StructMineDataPipeline:506 spacy_np:473 textrank:586
cessation	econ:196 auto:858 kea:290 StructMineDataPipeline:58 spacy_np:79 textrank:539
resonance	econ:203 auto:1019 kea:36 StructMineDataPipeline:1097 spacy_np:1064 textrank:400
ventricular stroke	econ:22 kea:1049
succinate	econ:346 auto:899 kea:264 StructMineDataPipeline:989 spacy_np:888 textrank:781
clonidine	econ:396 auto:215 kea:102 StructMineDataPipeline:222 spacy_np:178 textrank:418
shanghai	econ:745 auto:222 kea:856 StructMineDataPipeline:366 spacy_np:327 textrank:769
classification	econ:380 auto:490 kea:120 StructMineDataPipeline:151 spacy_np:220 textrank:384
cohb	econ:389 auto:693 kea:1076 StructMineDataPipeline:967 spacy_np:819 textrank:519
aps	econ:662 auto:422 kea:581 StructMineDataPipeline:423 spacy_np:370 textrank:442
global fund	econ:805 auto:625 rake:150 kea:671 StructMineDataPipeline:597 spacy_np:861
vip	econ:504 auto:451 kea:456 StructMineDataPipeline:498 spacy_np:421 textrank:339
sodium reabsorption	econ:624 auto:120 rake:179 kea:1028 StructMineDataPipeline:977 spacy_np:862
career	econ:564 auto:448 kea:367 StructMineDataPipeline:466 spacy_np:858 textrank:185
increased rates	auto:1092 rake:134 kea:1023 StructMineDataPipeline:503 spacy_np:369 textrank:788
aiha	econ:898 auto:775 kea:697 StructMineDataPipeline:785 spacy_np:649 textrank:515
examination	econ:32 auto:853 kea:200 StructMineDataPipeline:59 spacy_np:59 textrank:22
sella turcica	econ:547 auto:42 rake:236 kea:793 StructMineDataPipeline:862
december	econ:877 auto:179 kea:752 StructMineDataPipeline:46 spacy_np:19 textrank:776
malawi	econ:508 auto:207 kea:289 StructMineDataPipeline:391 spacy_np:346 textrank:663
psoriasis	econ:497 auto:287 kea:285 StructMineDataPipeline:132 spacy_np:86 textrank:350
esr1	econ:695 auto:659 kea:399 StructMineDataPipeline:947 spacy_np:777
s pneumoniae	econ:335 auto:1034 StructMineDataPipeline:363 spacy_np:331
immunoglobulins	econ:743 auto:367 kea:388 StructMineDataPipeline:305 spacy_np:283 textrank:296
infusion	econ:34 auto:954 kea:197 StructMineDataPipeline:86 spacy_np:100 textrank:279
chimpanzee	econ:569 auto:790 kea:619 StructMineDataPipeline:912 spacy_np:959 textrank:578
calcium balance	econ:604 auto:511 rake:251 kea:891 StructMineDataPipeline:996 spacy_np:879
appendix	econ:639 auto:929 kea:1111 StructMineDataPipeline:703 spacy_np:1066 textrank:727
iim	econ:651 auto:734 kea:476 StructMineDataPipeline:653 spacy_np:694 textrank:301
autosomal dominant disorder	econ:1064 auto:983 rake:122 kea:889 StructMineDataPipeline:831
puerperium	econ:922 auto:990 kea:813 StructMineDataPipeline:461 spacy_np:889 textrank:795
ert	econ:367 auto:531 kea:71 StructMineDataPipeline:600 spacy_np:484 textrank:679
diagnosis of lung	kea:899
ibd	econ:40 auto:410 kea:520 StructMineDataPipeline:254 spacy_np:218 textrank:603
cat	econ:736 auto:358 kea:462 StructMineDataPipeline:681 spacy_np:561 textrank:523
chief scientist	econ:470 auto:576 rake:314 kea:680
astrazeneca	econ:756 auto:304 kea:824 StructMineDataPipeline:436 spacy_np:383 textrank:518
temperatures	econ:985 auto:879 kea:504 StructMineDataPipeline:519 spacy_np:560 textrank:158
metastases	econ:41 auto:670 kea:91 StructMineDataPipeline:141 spacy_np:110 textrank:326
rehabilitation	econ:999 auto:339 kea:141 StructMineDataPipeline:161 spacy_np:129 textrank:120
red cross	econ:1142 auto:150 rake:353 kea:994 StructMineDataPipeline:1125
staphylococcus epidermidis	econ:499 auto:9 rake:203 kea:1009 StructMineDataPipeline:572 spacy_np:530
iodine	econ:42 auto:382 kea:51 StructMineDataPipeline:389 spacy_np:332 textrank:117
immunization coverage	econ:1022 auto:193 rake:223 kea:437 StructMineDataPipeline:800 spacy_np:727
radiotherapy	econ:38 auto:320 kea:34 StructMineDataPipeline:42 spacy_np:29 textrank:0
atorvastatin	econ:45 auto:280 kea:92 StructMineDataPipeline:282 spacy_np:270 textrank:401
glut4	econ:795 auto:845 kea:81 StructMineDataPipeline:1065 spacy_np:890
tak	econ:822 auto:896 kea:913 StructMineDataPipeline:942 spacy_np:884 textrank:267
csm	econ:977 auto:794 kea:552 StructMineDataPipeline:746 spacy_np:667 textrank:16
fonds	econ:214 auto:841 kea:1026 StructMineDataPipeline:1124 spacy_np:1098 textrank:671
monitoring	econ:683 auto:515 kea:177 StructMineDataPipeline:82 spacy_np:69 textrank:160
recovery	econ:416 auto:561 kea:63 StructMineDataPipeline:50 spacy_np:36 textrank:134
bacteremia	econ:49 auto:397 kea:158 StructMineDataPipeline:93 spacy_np:84 textrank:196
lesions	econ:858 auto:883 kea:7 StructMineDataPipeline:36 spacy_np:57 textrank:116
hazards regression	econ:51 auto:1058 rake:224 kea:1040 textrank:694
ohca	econ:1094 auto:620 kea:652 StructMineDataPipeline:854 spacy_np:729 textrank:307
fever	econ:54 auto:445 kea:37 StructMineDataPipeline:32 spacy_np:14 textrank:233
felty s syndrome	econ:776 auto:612 StructMineDataPipeline:931 spacy_np:641
sicca	econ:476 auto:789 kea:973 StructMineDataPipeline:1089
leukemia	econ:94 auto:707 kea:48 StructMineDataPipeline:121 spacy_np:78 textrank:178
culture techniques	econ:1037 auto:1013 rake:315 kea:975 StructMineDataPipeline:1021 spacy_np:968
pigment	econ:387 auto:941 kea:597 StructMineDataPipeline:961 spacy_np:934 textrank:258
man	econ:357 auto:800 kea:723 StructMineDataPipeline:40 spacy_np:25 textrank:343
nagasaki	econ:610 auto:809 kea:1123 StructMineDataPipeline:873 spacy_np:748
mucous membranes	econ:555 auto:146 rake:351 kea:502 StructMineDataPipeline:611 spacy_np:549
liquid	econ:1003 auto:231 kea:580 StructMineDataPipeline:721 spacy_np:816 textrank:651
ablation	econ:568 auto:654 kea:243 StructMineDataPipeline:264 spacy_np:273 textrank:194
documentation	econ:1133 auto:392 kea:583 StructMineDataPipeline:258 spacy_np:272 textrank:484
peritonitis	econ:59 auto:549 kea:275 StructMineDataPipeline:246 spacy_np:232 textrank:131
the populations	spacy_np:442
world health organisation	econ:1000 auto:127 rake:101 kea:794 StructMineDataPipeline:833 spacy_np:1078
rna synthesis	econ:865 auto:352 rake:140 kea:595 StructMineDataPipeline:843 spacy_np:706
gynecology	econ:62 auto:747 kea:1055 StructMineDataPipeline:496 spacy_np:469 textrank:697
embryogenesis	econ:892 auto:895 kea:886 StructMineDataPipeline:603 spacy_np:518 textrank:787
acids	econ:271 auto:933 kea:20 StructMineDataPipeline:849 spacy_np:855 textrank:215
japan	econ:498 auto:245 kea:412 StructMineDataPipeline:115 spacy_np:74 textrank:352
avenue	econ:405 auto:785 kea:902 StructMineDataPipeline:1005 textrank:771
priming	econ:832 auto:686 kea:657 StructMineDataPipeline:769 spacy_np:987 textrank:612
fibrosis transmembrane	econ:66 kea:985
prognosis	econ:81 auto:573 kea:72 StructMineDataPipeline:16 spacy_np:13 textrank:347
mellitus	econ:71 auto:1037 kea:324 StructMineDataPipeline:114 spacy_np:21 textrank:148
abortion act	econ:823 auto:1031 rake:227 kea:569 StructMineDataPipeline:588 spacy_np:1093
mbl	econ:1050 auto:884 kea:773 StructMineDataPipeline:915 spacy_np:763 textrank:693
population-based retrospective cohort study	econ:561 StructMineDataPipeline:661 spacy_np:1082
therapy	econ:366 auto:880 kea:12 StructMineDataPipeline:4 spacy_np:0 textrank:43
occult	econ:138 auto:216 kea:769 StructMineDataPipeline:923 textrank:268
liberia	econ:704 auto:846 kea:1031 StructMineDataPipeline:767 spacy_np:682 textrank:24
february	econ:889 auto:172 kea:411 StructMineDataPipeline:158 spacy_np:103 textrank:772
c57bl 6 mice	econ:815 auto:740 rake:50 spacy_np:813
ifx	econ:989 auto:887 kea:311 StructMineDataPipeline:962 spacy_np:880 textrank:188
detroit	econ:609 auto:411 kea:828 StructMineDataPipeline:910 spacy_np:745 textrank:733
coagulation	econ:243 auto:710 kea:35 StructMineDataPipeline:208 spacy_np:166 textrank:399
identifying patients	auto:1068 rake:217 kea:1095 StructMineDataPipeline:1084 spacy_np:1038 textrank:41
cornerstones	econ:1119 auto:1000 kea:1119 StructMineDataPipeline:762 spacy_np:932
investigators	econ:1062 auto:325 kea:8 StructMineDataPipeline:120 spacy_np:117 textrank:284
series	econ:746 auto:642 kea:207 StructMineDataPipeline:35 spacy_np:495 textrank:35
craniotomy	econ:967 auto:947 kea:958 StructMineDataPipeline:786 spacy_np:647 textrank:775
nigerian	econ:1168 auto:254 kea:980 textrank:491
cd147	econ:1078 auto:701 kea:232 StructMineDataPipeline:880 spacy_np:711
edrf	econ:1010 auto:838 kea:536 StructMineDataPipeline:855 spacy_np:807 textrank:770
showed improvement	auto:1029 rake:180 kea:1159 textrank:47
pud	econ:1023 auto:563 kea:708 StructMineDataPipeline:707 spacy_np:651 textrank:579
terminal ileum	econ:755 auto:480 rake:254 kea:977 StructMineDataPipeline:732 spacy_np:920
paresthesias	econ:696 auto:1027 kea:852 StructMineDataPipeline:813 spacy_np:767 textrank:754
calories	econ:453 auto:848 kea:349 StructMineDataPipeline:416 spacy_np:406 textrank:443
